epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39161,1.07788,0.47247,1.03355,0.92146,0.96086,0.96981,0.54666,1.45241,0.52811,1.22748,8e-05,8e-05,8e-05
2,13.8205,1.13586,0.47765,1.05423,0.91911,0.96602,0.96204,0.53854,1.48896,0.55027,1.24054,0.000178515,0.000178515,0.000178515
3,19.2336,1.1463,0.5012,1.07349,0.91489,0.96356,0.9577,0.52487,1.50917,0.55779,1.263,0.00027538,0.00027538,0.00027538
4,24.1452,1.11865,0.49122,1.01334,0.91881,0.95412,0.95398,0.5134,1.52021,0.5616,1.25271,0.000370595,0.000370595,0.000370595
5,29.3249,1.13251,0.48546,1.06737,0.92488,0.95142,0.95085,0.51341,1.53213,0.55833,1.24175,0.00046416,0.00046416,0.00046416
6,34.1997,1.18191,0.49821,1.12737,0.92102,0.95816,0.95429,0.52407,1.51325,0.56086,1.23149,0.000556075,0.000556075,0.000556075
7,38.8516,1.15491,0.50051,1.04903,0.92462,0.94349,0.9513,0.51343,1.49767,0.57903,1.24315,0.00064634,0.00064634,0.00064634
8,43.7128,1.15316,0.50887,1.06295,0.927,0.94256,0.95183,0.51478,1.49291,0.57659,1.2401,0.000734955,0.000734955,0.000734955
9,49.0792,1.10633,0.50357,1.02688,0.9218,0.93927,0.94602,0.49441,1.53018,0.62885,1.27757,0.00082192,0.00082192,0.00082192
10,53.9191,1.10197,0.50851,1.03142,0.92501,0.95412,0.95366,0.52198,1.49594,0.5904,1.23953,0.000907235,0.000907235,0.000907235
11,58.6855,1.15723,0.52091,1.02139,0.92877,0.95024,0.96032,0.51614,1.50584,0.63689,1.24168,0.0009909,0.0009909,0.0009909
12,64.1838,1.29144,0.55577,1.10832,0.92509,0.95682,0.95827,0.50944,1.48061,0.6257,1.23328,0.00107292,0.00107292,0.00107292
13,69.6436,1.16408,0.51153,1.02993,0.91961,0.95142,0.96198,0.51955,1.48366,0.59218,1.25548,0.00115328,0.00115328,0.00115328
14,74.2081,1.17783,0.55592,1.10306,0.91961,0.95142,0.96198,0.51955,1.48366,0.59218,1.25548,0.001232,0.001232,0.001232
15,79.3132,1.11447,0.49847,1.05719,0.93612,0.94332,0.96303,0.52786,1.47793,0.62005,1.24048,0.00130906,0.00130906,0.00130906
16,84.4382,1.16136,0.5012,1.05952,0.92374,0.92982,0.95638,0.51997,1.49385,0.62019,1.2332,0.00138448,0.00138448,0.00138448
17,89.217,1.20272,0.53379,1.08016,0.91526,0.92982,0.9555,0.51791,1.47802,0.59344,1.22077,0.00145824,0.00145824,0.00145824
18,94.3635,1.16741,0.509,1.06965,0.91526,0.92982,0.9555,0.51791,1.47802,0.59344,1.22077,0.00153035,0.00153035,0.00153035
19,99.5382,1.12422,0.53459,1.01517,0.9061,0.95063,0.95535,0.54157,1.44796,0.60514,1.22204,0.00160082,0.00160082,0.00160082
20,104.35,1.25105,0.54651,1.07571,0.8913,0.91903,0.94007,0.50664,1.52187,0.62369,1.26973,0.00166964,0.00166964,0.00166964
21,109.463,1.19937,0.52012,1.06694,0.8913,0.91903,0.94007,0.50664,1.52187,0.62369,1.26973,0.00167,0.00167,0.00167
22,114.697,1.23513,0.53622,1.07803,0.8856,0.95007,0.95553,0.5174,1.50984,0.62579,1.24284,0.0016535,0.0016535,0.0016535
23,119.561,1.13322,0.50755,1.02602,0.91441,0.95007,0.95578,0.51801,1.52163,0.60518,1.24372,0.001637,0.001637,0.001637
24,124.584,1.25756,0.53914,1.09346,0.91441,0.95007,0.95578,0.51801,1.52163,0.60518,1.24372,0.0016205,0.0016205,0.0016205
25,130.067,1.25435,0.55162,1.0518,0.90973,0.95277,0.94994,0.50734,1.51662,0.6019,1.24831,0.001604,0.001604,0.001604
26,135.445,1.15257,0.53685,1.06413,0.90973,0.95277,0.94994,0.50734,1.51662,0.6019,1.24831,0.0015875,0.0015875,0.0015875
27,140.369,1.18934,0.51373,1.06944,0.90898,0.94737,0.94558,0.50259,1.55359,0.59683,1.28694,0.001571,0.001571,0.001571
28,145.96,1.23978,0.52933,1.10142,0.91453,0.94197,0.94791,0.5115,1.5259,0.60019,1.27368,0.0015545,0.0015545,0.0015545
29,151.038,1.20291,0.63135,1.07979,0.91453,0.94197,0.94791,0.5115,1.5259,0.60019,1.27368,0.001538,0.001538,0.001538
30,156.086,1.20073,0.51412,1.08597,0.91672,0.93585,0.9567,0.51511,1.53476,0.5952,1.28687,0.0015215,0.0015215,0.0015215
31,161.878,1.19265,0.5318,1.04258,0.91105,0.93252,0.94822,0.51865,1.51566,0.5873,1.27965,0.001505,0.001505,0.001505
32,166.99,1.17871,0.52047,1.06748,0.91105,0.93252,0.94822,0.51865,1.51566,0.5873,1.27965,0.0014885,0.0014885,0.0014885
33,172.03,1.10602,0.50204,1.02381,0.91492,0.9288,0.9473,0.53005,1.49173,0.57337,1.25276,0.001472,0.001472,0.001472
34,177.958,1.16825,0.50953,1.02879,0.91492,0.9288,0.9473,0.53005,1.49173,0.57337,1.25276,0.0014555,0.0014555,0.0014555
35,183.239,1.18628,0.50895,1.05248,0.89774,0.93792,0.94708,0.53225,1.48674,0.5724,1.26587,0.001439,0.001439,0.001439
36,188.314,1.21989,0.52385,1.07127,0.90879,0.94197,0.95017,0.53678,1.47379,0.57292,1.25366,0.0014225,0.0014225,0.0014225
37,194.126,1.10153,0.48361,1.00546,0.90879,0.94197,0.95017,0.53678,1.47379,0.57292,1.25366,0.001406,0.001406,0.001406
38,199.639,1.19105,0.50063,1.0759,0.93239,0.96221,0.96397,0.53929,1.46817,0.56227,1.24208,0.0013895,0.0013895,0.0013895
39,204.674,1.22827,0.50657,1.04627,0.923,0.95441,0.96482,0.54094,1.46007,0.56278,1.24395,0.001373,0.001373,0.001373
40,210.351,1.1423,0.49651,1.04298,0.923,0.95441,0.96482,0.54094,1.46007,0.56278,1.24395,0.0013565,0.0013565,0.0013565
41,215.478,1.11619,0.48833,1.05152,0.90405,0.93927,0.9552,0.52822,1.50979,0.56556,1.28104,0.00134,0.00134,0.00134
42,220.439,1.16146,0.4858,1.0336,0.90405,0.93927,0.9552,0.52822,1.50979,0.56556,1.28104,0.0013235,0.0013235,0.0013235
43,226.076,1.0994,0.4735,1.00636,0.90679,0.94525,0.96011,0.53788,1.48881,0.56185,1.25752,0.001307,0.001307,0.001307
44,231.37,1.18178,0.50442,1.06414,0.91539,0.95682,0.96189,0.54129,1.48662,0.56098,1.25184,0.0012905,0.0012905,0.0012905
45,236.362,1.14412,0.48274,1.04668,0.91539,0.95682,0.96189,0.54129,1.48662,0.56098,1.25184,0.001274,0.001274,0.001274
46,241.972,1.16274,0.48318,1.09678,0.91118,0.9553,0.96619,0.53075,1.50855,0.56164,1.2625,0.0012575,0.0012575,0.0012575
47,247.381,1.17642,0.4989,1.01383,0.91515,0.94609,0.96331,0.53693,1.4927,0.55764,1.24827,0.001241,0.001241,0.001241
48,252.401,1.13551,0.49925,1.01582,0.91515,0.94609,0.96331,0.53693,1.4927,0.55764,1.24827,0.0012245,0.0012245,0.0012245
49,258.124,1.07878,0.46467,0.99122,0.93002,0.93657,0.95835,0.53132,1.48752,0.56243,1.25581,0.001208,0.001208,0.001208
50,263.498,1.08201,0.46588,1.00786,0.93002,0.93657,0.95835,0.53132,1.48752,0.56243,1.25581,0.0011915,0.0011915,0.0011915
51,269.996,1.0728,0.45384,1.02843,0.93079,0.93522,0.95674,0.52119,1.49477,0.56043,1.26103,0.001175,0.001175,0.001175
52,275.599,1.07089,0.46413,1.03097,0.93436,0.94197,0.95937,0.52498,1.51459,0.56256,1.25163,0.0011585,0.0011585,0.0011585
53,280.556,1.08424,0.45814,1.05416,0.93436,0.94197,0.95937,0.52498,1.51459,0.56256,1.25163,0.001142,0.001142,0.001142
54,285.59,1.02971,0.44748,0.98519,0.92197,0.94082,0.95711,0.51832,1.52347,0.56453,1.26093,0.0011255,0.0011255,0.0011255
55,291.456,1.09294,0.46949,1.00359,0.91963,0.942,0.95727,0.52232,1.50057,0.55793,1.2561,0.001109,0.001109,0.001109
56,296.426,1.01297,0.43891,0.99502,0.91963,0.942,0.95727,0.52232,1.50057,0.55793,1.2561,0.0010925,0.0010925,0.0010925
57,301.392,1.06513,0.46308,1.05527,0.91314,0.95007,0.95833,0.5347,1.49116,0.53961,1.25766,0.001076,0.001076,0.001076
58,307.282,1.07425,0.47853,1.06343,0.91314,0.95007,0.95833,0.5347,1.49116,0.53961,1.25766,0.0010595,0.0010595,0.0010595
59,312.273,1.10794,0.46763,1.04272,0.91799,0.95172,0.96313,0.53561,1.49253,0.54288,1.25198,0.001043,0.001043,0.001043
60,317.283,1.09573,0.6548,1.03142,0.91916,0.94872,0.96292,0.52883,1.50306,0.54853,1.26366,0.0010265,0.0010265,0.0010265
61,323.11,1.04966,0.44635,0.98275,0.91916,0.94872,0.96292,0.52883,1.50306,0.54853,1.26366,0.00101,0.00101,0.00101
62,328.224,1.02147,0.44851,1.00875,0.92378,0.95412,0.96605,0.53272,1.47983,0.5451,1.25405,0.0009935,0.0009935,0.0009935
63,333.903,1.02093,0.4415,1.03668,0.92727,0.95277,0.96516,0.53372,1.49618,0.54086,1.26558,0.000977,0.000977,0.000977
64,339.877,1.06955,0.44386,1.01803,0.92727,0.95277,0.96516,0.53372,1.49618,0.54086,1.26558,0.0009605,0.0009605,0.0009605
65,344.853,1.00492,0.43376,0.9806,0.91498,0.95682,0.9629,0.52311,1.52698,0.55108,1.29459,0.000944,0.000944,0.000944
66,349.851,1.04819,0.44823,1.02849,0.91498,0.95682,0.9629,0.52311,1.52698,0.55108,1.29459,0.0009275,0.0009275,0.0009275
67,355.612,1.12984,0.47382,1.08123,0.92333,0.94269,0.9549,0.50612,1.55421,0.56015,1.31822,0.000911,0.000911,0.000911
68,360.711,1.01266,0.44887,1.0181,0.93889,0.9538,0.96123,0.51856,1.52575,0.55539,1.28564,0.0008945,0.0008945,0.0008945
69,365.697,1.03372,0.44372,1.00711,0.93889,0.9538,0.96123,0.51856,1.52575,0.55539,1.28564,0.000878,0.000878,0.000878
70,371.529,1.02609,0.45379,0.98348,0.9315,0.95142,0.961,0.53127,1.48277,0.54523,1.26189,0.0008615,0.0008615,0.0008615
71,376.638,1.04042,0.44037,0.99818,0.91998,0.96086,0.96081,0.53509,1.4626,0.53509,1.25542,0.000845,0.000845,0.000845
72,381.639,1.002,0.42966,0.99905,0.91998,0.96086,0.96081,0.53509,1.4626,0.53509,1.25542,0.0008285,0.0008285,0.0008285
73,387.546,1.03506,0.46929,1.04238,0.92194,0.95628,0.95284,0.53611,1.46766,0.53469,1.26072,0.000812,0.000812,0.000812
74,392.719,0.99855,0.42972,0.99002,0.92194,0.95628,0.95284,0.53611,1.46766,0.53469,1.26072,0.0007955,0.0007955,0.0007955
75,397.605,0.99675,0.41883,1.01787,0.92379,0.95142,0.95279,0.53154,1.49357,0.54751,1.27643,0.000779,0.000779,0.000779
76,403.151,1.06763,0.46021,1.03303,0.92117,0.94624,0.94993,0.52946,1.49572,0.54618,1.28712,0.0007625,0.0007625,0.0007625
77,408.424,0.95511,0.42141,0.97557,0.92117,0.94624,0.94993,0.52946,1.49572,0.54618,1.28712,0.000746,0.000746,0.000746
78,413.423,0.97338,0.41999,0.99934,0.9186,0.94427,0.94734,0.53076,1.49417,0.53518,1.2777,0.0007295,0.0007295,0.0007295
79,419.093,1.0148,0.42929,0.99347,0.92005,0.94734,0.95605,0.53228,1.50141,0.53519,1.27321,0.000713,0.000713,0.000713
80,424.47,1.01757,0.44577,0.96823,0.92005,0.94734,0.95605,0.53228,1.50141,0.53519,1.27321,0.0006965,0.0006965,0.0006965
81,429.454,0.99733,0.42947,1.01215,0.91558,0.94872,0.95802,0.53592,1.50129,0.53391,1.26753,0.00068,0.00068,0.00068
82,434.889,1.01233,0.42083,1.0171,0.91558,0.94872,0.95802,0.53592,1.50129,0.53391,1.26753,0.0006635,0.0006635,0.0006635
83,440.26,1.02208,0.44533,0.99221,0.91625,0.95816,0.9598,0.53227,1.4981,0.53367,1.26301,0.000647,0.000647,0.000647
84,445.217,0.94592,0.42083,0.98412,0.92536,0.95364,0.96156,0.52556,1.50969,0.53145,1.26788,0.0006305,0.0006305,0.0006305
85,450.587,0.96811,0.42271,0.94116,0.92536,0.95364,0.96156,0.52556,1.50969,0.53145,1.26788,0.000614,0.000614,0.000614
86,455.991,0.97319,0.41839,0.9715,0.92397,0.96086,0.96844,0.52349,1.51436,0.53285,1.27384,0.0005975,0.0005975,0.0005975
87,461.045,0.98447,0.41621,0.99681,0.92394,0.95816,0.95873,0.52061,1.51168,0.52991,1.27487,0.000581,0.000581,0.000581
88,466.403,1.00039,0.42155,1.05366,0.92394,0.95816,0.95873,0.52061,1.51168,0.52991,1.27487,0.0005645,0.0005645,0.0005645
89,471.737,1.03167,0.46139,1.00803,0.92799,0.95659,0.96066,0.52959,1.48877,0.52141,1.26675,0.000548,0.000548,0.000548
90,476.704,1.02633,0.44312,0.98871,0.92799,0.95659,0.96066,0.52959,1.48877,0.52141,1.26675,0.0005315,0.0005315,0.0005315
91,482.256,0.9124,0.39654,0.96004,0.9268,0.95692,0.96112,0.5322,1.48363,0.52155,1.26898,0.000515,0.000515,0.000515
92,487.653,0.92825,0.3997,0.95485,0.92964,0.96294,0.96022,0.52552,1.50551,0.52292,1.28151,0.0004985,0.0004985,0.0004985
93,492.59,0.9236,0.39661,0.98225,0.92964,0.96294,0.96022,0.52552,1.50551,0.52292,1.28151,0.000482,0.000482,0.000482
94,497.934,1.05109,0.46344,1.04411,0.9282,0.96086,0.954,0.52035,1.51778,0.53073,1.28275,0.0004655,0.0004655,0.0004655
95,503.286,0.91913,0.40276,0.94523,0.92509,0.96665,0.96158,0.51299,1.52488,0.53569,1.29105,0.000449,0.000449,0.000449
96,508.17,1.01033,0.4261,1.02848,0.92509,0.96665,0.96158,0.51299,1.52488,0.53569,1.29105,0.0004325,0.0004325,0.0004325
97,513.499,1.0104,0.45553,0.97334,0.92981,0.96539,0.96166,0.51886,1.51096,0.53533,1.28781,0.000416,0.000416,0.000416
98,518.845,0.93206,0.41416,0.94223,0.92981,0.96539,0.96166,0.51886,1.51096,0.53533,1.28781,0.0003995,0.0003995,0.0003995
99,523.875,0.89322,0.39378,0.92049,0.92889,0.95682,0.96118,0.52431,1.50535,0.53124,1.28195,0.000383,0.000383,0.000383
100,529.344,0.90483,0.38433,0.97363,0.93038,0.9558,0.96152,0.52829,1.50347,0.52816,1.27234,0.0003665,0.0003665,0.0003665
101,535.106,0.91794,0.38532,0.97426,0.93038,0.9558,0.96152,0.52829,1.50347,0.52816,1.27234,0.00035,0.00035,0.00035
